imdbId,filename,file_path,width,height,format,md5,dhash,Title,Genre,target_genres
1000095,1000095.jpg,../data/raw/1000095.jpg,182,268,JPEG,1eed18693ba27f862c4e0ca83938ad16,c2c2722a0d6bdaca,PokÌ©mon Ranger and the Temple of the Sea (2006),Animation|Action|Adventure,"['Animation', 'Action', 'Adventure']"
100107,100107.jpg,../data/raw/100107.jpg,182,268,JPEG,d16ff9d1f2f36ef76e0203057fd7676c,b2b4d4d88c2adcb0,Maniac Cop 2 (1990),Crime|Horror|Action,"['Horror', 'Action']"
100148,100148.jpg,../data/raw/100148.jpg,182,268,JPEG,b435cf4473f24bcd20489378fe886d46,98f36363d2d8ded8,Midnight Ride (1990),Action|Horror|Thriller,"['Action', 'Horror']"
1001526,1001526.jpg,../data/raw/1001526.jpg,182,268,JPEG,e84d413d9e5baab1214c6fab08c8ed2b,ac4a47470e8e490f,Megamind (2010),Animation|Action|Comedy,"['Animation', 'Action', 'Comedy']"
100281,100281.jpg,../data/raw/100281.jpg,182,268,JPEG,3268e0551d4019ab640929915d016eaa,b5f1e9e9e0695497,The Nutcracker Prince (1990),Animation|Adventure|Family,"['Animation', 'Adventure']"
100339,100339.jpg,../data/raw/100339.jpg,182,268,JPEG,2b1715dc14f4a782ac140e13b2c2b417,766dc987254cce0c,Patlabor: The Movie (1989),Animation|Action|Crime,"['Animation', 'Action']"
100369,100369.jpg,../data/raw/100369.jpg,182,268,JPEG,c615b5a2ba9d5ab2ae6f6e0eab8ae02b,78e89496c84970b2,The Pit and the Pendulum (1991),Horror|Romance,"['Horror', 'Romance']"
100912,100912.jpg,../data/raw/100912.jpg,182,268,JPEG,c94415213092c976a6bc8f99b7397a2a,1375291717916377,Werner - Beinhart! (1990),Action|Animation|Comedy,"['Action', 'Animation', 'Comedy']"
100963,100963.jpg,../data/raw/100963.jpg,182,268,JPEG,3195732082b63f2afa1c67a4b5c92258,2f78903e7d587c7c,Mo jong yuen So Hat-Yi (1992),Action|Comedy|Drama,"['Action', 'Comedy', 'Drama']"
101244,101244.jpg,../data/raw/101244.jpg,182,268,JPEG,221adf4de014be4ccd2a8ae8a562e273,e6c4b4ecacc8c9c9,100 Days (1991),Horror|Romance|Thriller,"['Horror', 'Romance']"
1013607,1013607.jpg,../data/raw/1013607.jpg,182,268,JPEG,352c66d63df236bc6d18d2713eb48138,e8e498838222e2c0,Idiots and Angels (2008),Animation|Comedy|Drama,"['Animation', 'Comedy', 'Drama']"
1013743,1013743.jpg,../data/raw/1013743.jpg,182,268,JPEG,b61751d1144cc8a99ac33e6f8e2f8a25,c2f2d2c8c9c8e4e4,Knight and Day (2010),Action|Comedy|Romance,"['Action', 'Comedy', 'Romance']"
101522,101522.jpg,../data/raw/101522.jpg,182,268,JPEG,3f1f53fc1ba0d6964d6453d9421ae64c,3222d2921a2aa246,Burn Up! (1991),Animation|Action|Comedy,"['Animation', 'Action', 'Comedy']"
101583,101583.jpg,../data/raw/101583.jpg,182,268,JPEG,a47eb1d1bf75dbea93965b8315e6b8f3,c6e6b9aee4ccc8c3,"Ranma å_: The Movie, Big Trouble in Nekonron, China (1991)",Animation|Comedy|Fantasy,"['Animation', 'Comedy']"
1018723,1018723.jpg,../data/raw/1018723.jpg,182,268,JPEG,f3b1d946372d5de06bcfdd25f5be1c14,0c0c1f1f6e341903,Get Smart's Bruce and Lloyd Out of Control (2008),Action|Comedy|Romance,"['Action', 'Comedy', 'Romance']"
1022883,1022883.jpg,../data/raw/1022883.jpg,182,268,JPEG,f7a5c1217b6d3a1f6e30ca5598eb1895,6dd0e88b1b1e5777,Pig Hunt (2008),Action|Horror|Thriller,"['Action', 'Horror']"
